Wall time,Step,Value
1778283469.0585728,0,4.705652236938477
1778283910.2431583,1,3.0026893615722656
1778284350.8833382,2,2.4701082706451416
1778284792.819672,3,2.129657030105591
1778285233.8593566,4,1.906052827835083
1778285674.9184456,5,1.7621854543685913
1778286116.712899,6,1.6320306062698364
1778286558.6524818,7,1.5246750116348267
1778287000.6712246,8,1.456126093864441
1778287441.4556563,9,1.3626041412353516
1778287881.991047,10,1.3019330501556396
1778288322.5038264,11,1.218747615814209
1778288762.9403398,12,1.1795467138290405
1778289203.7257826,13,1.13130784034729
1778289644.6093783,14,1.0830316543579102
1778290085.2330642,15,1.0354384183883667
1778290525.7451062,16,1.0224089622497559
1778290966.2443702,17,0.9675567746162415
1778291406.5480602,18,0.9395131468772888
1778291847.0194302,19,0.8782097101211548
1778292287.3277209,20,0.8993930816650391
1778292727.6204102,21,0.8684901595115662
1778293168.1297023,22,0.8422946333885193
1778293608.6231775,23,0.8051169514656067
1778294048.799786,24,0.79413902759552
1778294488.7316582,25,0.7779969573020935
1778294928.6206293,26,0.7460976839065552
1778295368.974314,27,0.7586072087287903
1778295809.486874,28,0.7270681858062744
1778296249.9007063,29,0.7272235751152039
1778296690.3260708,30,0.7230978608131409
1778297130.8219323,31,0.6933360695838928
1778297571.297595,32,0.6783372759819031
1778298011.357146,33,0.6644657254219055
1778298451.7799017,34,0.6350325345993042
1778298892.1976354,35,0.638261616230011
1778299332.5588088,36,0.6297829151153564
1778299772.9794302,37,0.6106930375099182
1778300213.3580499,38,0.6028328537940979
1778300653.684578,39,0.6327974200248718
1778301094.2072637,40,0.5944514274597168
1778301535.0370638,41,0.5935494303703308
1778301975.9690535,42,0.5838177800178528
1778302416.6044343,43,0.585291862487793
1778302856.9281113,44,0.5661699175834656
1778303297.641494,45,0.547309935092926
1778303738.1771033,46,0.5442104935646057
1778304178.6938066,47,0.5289401412010193
1778304619.176643,48,0.5310094356536865
1778305059.454076,49,0.5466395616531372
1778305499.8015244,50,0.5227577090263367
1778305940.040543,51,0.5107721090316772
1778306380.708593,52,0.5181053876876831
1778306821.3357816,53,0.489418625831604
1778307261.7131789,54,0.4740324318408966
1778307703.090465,55,0.47595417499542236
1778308144.728341,56,0.4650745093822479
1778308586.7919705,57,0.48341819643974304
1778309028.7546608,58,0.47192755341529846
1778309470.1251469,59,0.4671841859817505
1778309911.8857367,60,0.4908694326877594
1778310353.6341574,61,0.4520936608314514
1778310795.012432,62,0.45693930983543396
1778311236.1800246,63,0.44174957275390625
1778311677.7050705,64,0.4485827386379242
1778312118.891058,65,0.43561333417892456
1778312560.4732654,66,0.4402358829975128
1778313002.5958412,67,0.4237332344055176
1778313444.359291,68,0.4509807825088501
1778313886.7358477,69,0.42213284969329834
1778314329.3178234,70,0.40551862120628357
1778314772.8672554,71,0.41202330589294434
1778315215.7065105,72,0.40292173624038696
1778315658.8229518,73,0.38486045598983765
1778316102.3404846,74,0.3810267746448517
1778316545.2871056,75,0.3938697278499603
1778316988.1709857,76,0.3819299340248108
1778317431.8421128,77,0.3873628079891205
1778317875.8315883,78,0.37617266178131104
1778318319.745893,79,0.3690684735774994
1778318762.639655,80,0.3707496225833893
1778319204.970135,81,0.3586064279079437
1778319647.813876,82,0.3615332245826721
1778320091.0113451,83,0.34764426946640015
1778320534.0074203,84,0.3571367859840393
1778320977.99022,85,0.35943135619163513
1778321420.8399577,86,0.3448210656642914
1778321862.9854815,87,0.34263119101524353
1778322304.9327567,88,0.35005971789360046
1778322746.5127928,89,0.34401705861091614
1778323187.962885,90,0.3436424732208252
1778323629.2508857,91,0.350857675075531
1778324070.780133,92,0.32203295826911926
1778324512.453056,93,0.3246590495109558
1778324954.0309863,94,0.32294079661369324
1778325396.4501252,95,0.3203994631767273
1778325839.7994585,96,0.32894375920295715
1778326283.4670842,97,0.32760727405548096
1778326727.2848456,98,0.3200366199016571
1778327170.86945,99,0.342105895280838
1778327872.245209,100,0.3302275836467743
1778328313.7672176,101,0.30410218238830566
1778328754.7117734,102,0.29727473855018616
1778329195.9145403,103,0.29269176721572876
1778329636.7140155,104,0.2947363555431366
1778330344.0717292,105,0.3092527687549591
1778330785.0525396,106,0.292778342962265
1778331225.733904,107,0.28718626499176025
1778331666.8885856,108,0.2824825942516327
1778332108.2805154,109,0.28535330295562744
1778332810.3909514,110,0.28188082575798035
1778333250.7094617,111,0.2839875817298889
1778333691.481656,112,0.2968630790710449
1778334131.8449402,113,0.29491931200027466
1778334572.3233225,114,0.28849977254867554
1778335288.3776107,115,0.2816484868526459
1778335730.2891123,116,0.267882376909256
1778336172.5375478,117,0.2763630747795105
1778336614.7306333,118,0.26454415917396545
1778337056.49966,119,0.2599407434463501
1778337763.7625744,120,0.2667653560638428
1778338205.545336,121,0.2582338750362396
1778338647.2652972,122,0.2722150683403015
1778339089.2413778,123,0.2676796317100525
1778339531.4782026,124,0.26904603838920593
1778340212.1775556,125,0.26023349165916443
1778340654.2423952,126,0.261187344789505
1778341096.4279847,127,0.2573534846305847
1778341538.1176531,128,0.2659342288970947
1778341979.6979158,129,0.250214159488678
1778342679.9734516,130,0.25391414761543274
1778343121.8864713,131,0.2389167994260788
1778343565.0887368,132,0.23941613733768463
1778344008.2513418,133,0.2419985830783844
1778344451.6371906,134,0.24788497388362885
1778345146.8106277,135,0.23692402243614197
1778345590.301213,136,0.24373012781143188
1778346034.1161065,137,0.24150487780570984
1778346477.465459,138,0.23369044065475464
1778346920.7609274,139,0.2399688959121704
1778347611.335034,140,0.2494826316833496
1778348054.5977874,141,0.23619377613067627
1778348497.5723553,142,0.23137353360652924
1778348940.6670027,143,0.2365722507238388
1778349384.0979102,144,0.22083067893981934
1778350081.701747,145,0.22695916891098022
1778350524.816329,146,0.22680771350860596
1778350967.2272952,147,0.22348007559776306
1778351409.4121215,148,0.228707954287529
1778351852.0291946,149,0.23868194222450256
1778352545.0923154,150,0.22528645396232605
1778352986.5015607,151,0.21448665857315063
1778353428.7724347,152,0.21779851615428925
1778353872.300027,153,0.21055595576763153
1778354315.4329095,154,0.2154718041419983
1778355004.9430015,155,0.21979261934757233
1778355447.9918437,156,0.21205268800258636
1778355891.2405858,157,0.2118118405342102
1778356334.2595239,158,0.21247586607933044
1778356776.8250115,159,0.20972511172294617
1778357462.1531851,160,0.21249788999557495
1778357904.9159544,161,0.20667318999767303
1778358347.387333,162,0.19979381561279297
1778358789.871379,163,0.20385977625846863
1778359232.4804935,164,0.19758917391300201
1778359916.5629294,165,0.19916410744190216
1778360359.653762,166,0.19727613031864166
1778360803.0935514,167,0.20478372275829315
1778361246.6659873,168,0.19623713195323944
1778361691.819532,169,0.19491231441497803
1778362389.219437,170,0.1959293782711029
1778362833.504506,171,0.1972767561674118
1778363276.7278957,172,0.19099557399749756
1778363719.912238,173,0.19454054534435272
1778364163.2264135,174,0.18886572122573853
